,Date,Value
829,28.03.2017,5180311296.69
830,29.03.2017,5245268897.71
831,30.03.2017,5423193225.74
832,02.04.2017,5474660637.19
833,03.04.2017,5565010198.39
834,04.04.2017,5638857881.66
835,05.04.2017,5656686367.72
836,06.04.2017,5759625206.08
837,09.04.2017,5928788445.73
838,10.04.2017,6105368140.45
839,11.04.2017,6164064851.1
840,12.04.2017,6174169426.83
841,13.04.2017,6180721019.95
842,16.04.2017,6361036497.93
843,17.04.2017,6411536774.48
844,18.04.2017,6538974105.57
845,19.04.2017,6598709370.46
846,20.04.2017,6707894686.8
847,23.04.2017,6843279261.07
848,24.04.2017,6934975611.89
849,25.04.2017,7028631854.83
850,26.04.2017,7241837083.29
851,27.04.2017,7367825492.2
852,01.05.2017,7471632536.44
853,02.05.2017,7836445277.1
854,03.05.2017,7923566411.3
855,04.05.2017,7960479717.13
856,09.05.2017,7816481355.33
857,10.05.2017,7876733832.61
858,11.05.2017,7925665109.41
859,14.05.2017,8044566983.5
860,15.05.2017,8463335730.49
861,16.05.2017,8518348382.74
862,17.05.2017,8543315513.27
863,18.05.2017,8547893169.7
864,21.05.2017,8754277643.81
865,22.05.2017,8825543909.8
866,23.05.2017,9172484247.78
867,24.05.2017,9276305055.17
868,25.05.2017,9339712348.76
869,28.05.2017,9397581934.54
870,29.05.2017,9460904522.71
871,30.05.2017,9553440070.05
